epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,213.313,0.98651,1.47563,1.60987,0.51877,0.19529,0.13446,0.06457,1.77043,3.28411,2.31837,0.00057029,0.00057029,0.00057029
70,215.913,0.87359,1.51386,1.36206,0.55089,0.22161,0.15392,0.07296,1.9794,3.08931,2.4479,0.000567368,0.000567368,0.000567368
71,218.401,0.91591,2.21084,1.3219,0.49172,0.25824,0.22113,0.10692,2.05208,3.0525,2.5231,0.000564446,0.000564446,0.000564446
72,221.953,1.13718,1.79393,1.57975,0.71117,0.17791,0.23113,0.13112,2.02195,3.27786,2.45239,0.000561524,0.000561524,0.000561524
73,226.301,0.89355,1.57475,1.39108,0.737,0.17766,0.23899,0.13609,1.96246,3.25717,2.40205,0.000558602,0.000558602,0.000558602
74,229.842,0.89107,1.36107,1.38763,0.76881,0.24927,0.23987,0.11353,1.88615,3.08464,2.36322,0.000555679,0.000555679,0.000555679
75,232.356,0.7375,1.89572,1.11112,0.62163,0.19838,0.18066,0.10774,1.87404,3.16238,2.43976,0.000552757,0.000552757,0.000552757
76,235,0.82635,1.24526,1.38201,0.65812,0.12821,0.14603,0.09628,1.79552,3.26991,2.3881,0.000549835,0.000549835,0.000549835
77,237.51,1.22222,1.41717,1.4284,0.64526,0.12821,0.13003,0.08774,1.75881,3.39134,2.3805,0.000546913,0.000546913,0.000546913
78,240.659,0.80216,1.30015,1.24472,0.60229,0.12821,0.12824,0.0831,1.77677,3.47412,2.63555,0.000543991,0.000543991,0.000543991
79,244.698,0.73122,1.30421,1.2761,0.59975,0.19963,0.13571,0.08141,1.76734,3.50944,2.62046,0.000541068,0.000541068,0.000541068
80,248.046,0.73068,1.38977,1.22959,0.62738,0.18737,0.18693,0.11789,1.89004,3.43628,2.69274,0.000538146,0.000538146,0.000538146
81,250.576,0.75493,1.24465,1.27599,0.58339,0.29487,0.18405,0.08915,1.88108,3.53747,2.56326,0.000535224,0.000535224,0.000535224
82,253.14,0.73769,1.45491,1.21689,0.53225,0.17582,0.18842,0.09661,1.87685,3.65827,2.38599,0.000532302,0.000532302,0.000532302
83,255.758,0.93448,1.13191,1.32961,0.72554,0.12821,0.16545,0.09067,2.00866,3.44475,2.54555,0.00052938,0.00052938,0.00052938
84,259.038,0.66435,1.38335,1.17745,0.70185,0.1978,0.1686,0.0894,1.95711,3.34527,2.41866,0.000526457,0.000526457,0.000526457
85,262.885,1.0959,1.72977,1.56125,0.56715,0.17219,0.17064,0.10518,1.86018,3.28071,2.34607,0.000523535,0.000523535,0.000523535
86,266.708,0.81867,1.46794,1.35207,0.70179,0.12821,0.19688,0.11721,1.85531,3.11914,2.36034,0.000520613,0.000520613,0.000520613
87,269.717,0.81982,1.70191,1.40692,0.3337,0.20094,0.21196,0.1333,1.85041,3.27058,2.46589,0.000517691,0.000517691,0.000517691
88,273.024,0.83879,1.45297,1.26808,0.55825,0.25346,0.27531,0.16054,1.86713,3.28758,2.69735,0.000514769,0.000514769,0.000514769
89,275.704,0.70259,1.11739,1.21613,0.56129,0.25409,0.2865,0.16581,1.897,3.33099,2.73688,0.000511846,0.000511846,0.000511846
90,279.303,0.74065,1.12211,1.24226,0.59225,0.2668,0.24335,0.14074,1.95852,3.36842,2.75128,0.000508924,0.000508924,0.000508924
91,283.176,0.74096,1.09662,1.19129,0.54666,0.16117,0.20908,0.11169,1.94859,3.64197,2.79763,0.000506002,0.000506002,0.000506002
92,286.35,0.62537,1.19061,1.1745,0.75273,0.11538,0.19764,0.13414,1.87681,3.62296,2.78577,0.00050308,0.00050308,0.00050308
93,288.865,0.90874,1.23246,1.28308,0.74991,0.11538,0.1861,0.12053,1.84771,3.59794,2.72325,0.000500158,0.000500158,0.000500158
94,291.463,0.7025,1.03166,1.18953,0.74554,0.12637,0.15253,0.09208,1.90554,3.54907,2.66934,0.000497235,0.000497235,0.000497235
95,294.076,0.9338,1.44534,1.392,0.62779,0.19139,0.20043,0.12237,1.90025,3.35387,2.58717,0.000494313,0.000494313,0.000494313
96,297.702,0.80333,1.0763,1.35724,0.64135,0.27181,0.27381,0.14819,1.93004,3.35444,2.58374,0.000491391,0.000491391,0.000491391
97,301.77,0.65985,0.95252,1.16906,0.63369,0.32144,0.27472,0.15109,1.91293,3.33382,2.59218,0.000488469,0.000488469,0.000488469
98,305.194,0.68157,0.96672,1.21883,0.6066,0.26811,0.24155,0.14484,1.84782,3.37839,2.66044,0.000485547,0.000485547,0.000485547
